season,team,players_used,age,matches_played,starts,minutes,90s_played,goals,goals_minus_penalty,penalty_goals,yellow_cards,red_cards,goals_per_90,goals_minus_penalty_per_90,world_cup_winner,continent
2022,Netherlands,21,26.8,5,55,480,5.3,10,10,0,12,1,1.87,1.87,0,Europe
2022,Poland,21,27.8,4,44,360,4.0,3,2,1,7,0,0.75,0.5,0,Europe
2022,Portugal,24,26.9,5,55,450,5.0,12,10,2,6,0,2.4,2.0,0,Europe
2022,Qatar,20,28.2,3,33,270,3.0,1,1,0,7,0,0.33,0.33,0,Asia
2022,Saudi Arabia,23,27.3,3,33,270,3.0,3,3,0,14,0,1.0,1.0,0,Asia
2022,Senegal,20,26.9,4,44,360,4.0,5,4,1,7,0,1.25,1.0,0,Africa
2022,Serbia,22,26.5,3,33,270,3.0,5,5,0,12,0,1.67,1.67,0,Europe
2022,Spain,21,25.5,4,44,390,4.3,9,8,1,2,0,2.08,1.85,0,Europe
2022,Switzerland,24,27.6,4,44,360,4.0,5,5,0,9,0,1.25,1.25,0,Europe
2022,Tunisia,21,26.9,3,33,270,3.0,1,1,0,5,0,0.33,0.33,0,Africa
2022,United States,20,24.5,4,44,360,4.0,3,3,0,5,0,0.75,0.75,0,Americas
2022,Uruguay,19,27.6,3,33,270,3.0,2,2,0,8,0,0.67,0.67,0,Americas
